264,94,4
273,232,5
92,384,5
196,383,4
260,146,2
290,372,3
95,193,2
60,129,4
54,198,3
319,379,4
133,90,2
152,226,4
113,363,5
295,166,2
7,290,3
159,332,3
30,348,3
63,216,3
194,95,4
295,205,4
201,155,5
71,239,4
4,103,1
169,118,5
220,249,2
16,327,5
2,41,3
65,177,5
274,253,4
43,132,1
260,155,5
48,102,4
174,402,3
193,302,4
35,124,2
211,301,1
16,387,2
277,391,2
296,396,5
111,262,1
30,33,4
109,274,5
193,196,2
37,72,4
218,402,2
21,406,2
226,142,3
25,22,5
245,160,2
17,204,4
322,65,4
178,54,1
289,88,2
277,289,2
283,411,1
255,69,3
106,126,4
177,109,4
69,63,3
128,13,1
110,252,1
172,342,3
80,85,3
33,367,1
292,42,3
104,179,5
244,159,4
29,122,5
281,398,3
221,412,2
302,119,4
40,323,3
44,213,1
167,387,1
307,102,1
17,91,1
292,354,4
81,101,2
82,110,1
103,165,3
298,232,4
176,81,5
131,126,3
139,95,5
243,411,1
38,327,4
299,163,4
273,28,4
277,378,2
24,278,4
4,66,4
74,74,4
228,259,4
93,111,3
87,395,3
257,363,1
179,186,5
70,354,5
139,156,1
23,415,2
235,255,4
264,305,1
32,191,3
212,279,3
34,414,1
212,101,5
226,343,4
99,67,1
245,405,4
97,161,4
299,64,3
43,236,3
149,100,3
270,306,4
210,76,1
169,258,5
81,92,5
20,169,1
239,195,1
318,139,3
100,20,3
109,129,3
183,175,1
143,164,5
167,389,4
109,193,5
75,391,3
87,162,2
22,254,2
27,184,2
2,349,5
292,170,1
144,343,1
209,387,1
240,130,2
312,314,1
112,226,1
194,159,4
235,338,1
71,384,2
60,156,3
271,371,3
66,305,2
131,130,2
162,41,4
258,294,3
93,100,3
38,190,3
185,360,4
187,193,1
3,21,1
19,129,1
148,111,2
178,133,5
159,120,2
124,193,4
215,246,5
17,317,1
60,254,3
212,339,4
6,81,5
316,378,1
127,147,2
169,243,1
224,271,5
311,305,1
289,230,4
272,332,4
190,345,4
285,234,1
291,9,4
231,401,1
178,233,5
45,340,4
265,92,4
148,92,5
19,364,5
121,104,3
5,390,4
272,381,3
22,338,1
20,262,5
143,160,4
259,293,4
280,330,3
199,295,3
92,63,4
125,192,3
196,269,4
6,162,4
60,407,2
283,21,1
94,236,5
143,225,5
53,209,1
49,305,2
22,166,5
213,333,3
273,262,1
74,416,5
322,415,5
196,318,5
238,202,4
65,159,2
44,44,1
112,37,4
274,387,5
265,199,3
188,278,3
48,401,5
209,12,4
17,53,4
114,296,2
171,394,1
15,345,3
18,34,5
135,355,2
260,316,3
315,255,1
243,329,5
13,253,2
165,2,2
42,271,3
129,37,4
35,238,2
151,290,5
136,216,5
6,263,2
84,215,3
78,400,3
90,320,5
174,163,5
15,103,4
31,34,2
235,258,3
289,415,3
114,143,5
190,235,4
186,357,3
160,233,3
297,157,5
21,191,4
269,90,5
93,148,3
250,155,2
44,415,2
201,131,5
35,2,2
26,76,1
102,317,2
18,159,4
2,272,1
100,190,3
288,263,4
104,140,4
28,271,3
296,110,5
136,217,3
31,288,1
313,194,3
159,416,3
110,368,1
136,7,5
3,26,5
253,300,4
175,296,3
118,125,2
285,169,3
162,123,4
132,194,3
123,235,5
19,161,3
320,31,5
13,352,2
100,103,1
213,284,2
276,214,5
185,196,1
40,62,3
228,149,1
214,3,3
137,224,2
199,197,2
7,405,4
221,417,5
47,95,5
6,3,5
99,154,2
82,204,3
73,286,5
188,377,3
145,313,4
78,197,3
321,349,1
52,84,4
248,57,4
198,63,2
175,170,2
170,167,1
68,137,3
295,261,1
237,111,2
271,85,5
92,265,2
13,80,5
95,238,5
270,202,1
174,226,2
125,25,1
46,23,5
103,122,3
198,62,5
243,282,3
81,111,2
210,262,1
128,0,3
94,371,4
273,333,2
227,357,4
214,356,3
163,195,4
257,99,2
275,334,5
55,208,5
87,120,4
302,317,4
225,74,4
265,263,1
10,191,1
184,185,4
124,276,3
99,239,4
198,175,4
71,254,5
