44,305,1091,33
304,10,36,96
118,321,378,72
23,323,328,34
18,198,274,31
182,240,733,44
95,65,403,101
141,22,1001,88
43,61,961,52
175,304,929,55
244,299,50,58
239,136,177,13
180,342,685,66
284,138,922,38
79,94,849,17
88,87,603,6
36,93,588,16
138,39,600,77
280,243,534,45
32,259,1045,58
71,163,575,13
197,179,510,82
264,28,809,77
237,355,927,38
145,189,910,57
147,175,1017,86
66,2,451,60
65,270,282,95
81,33,338,11
15,348,869,70
261,319,656,7
222,232,101,55
307,56,637,29
26,287,67,72
12,287,1040,72
276,35,279,9
306,337,118,97
246,258,901,45
72,205,1082,34
24,216,209,88
110,121,427,101
139,89,766,58
233,173,13,33
229,9,179,80
89,117,216,69
127,279,76,69
124,260,918,2
290,111,653,82
50,124,6,44
55,135,964,14
133,190,572,58
104,174,224,61
156,316,214,76
256,281,937,35
129,63,351,5
191,318,550,64
148,221,48,11
245,75,884,45
4,364,592,70
92,77,611,10
267,311,812,21
291,207,355,36
211,351,762,64
302,20,240,32
241,146,496,32
255,159,629,27
117,306,1026,86
265,124,6,73
210,90,768,84
37,303,569,72
69,232,101,24
142,287,1040,72
193,211,971,23
61,287,374,79
178,294,1022,0
300,163,166,10
126,73,8,16
232,8,1067,25
316,24,556,93
160,100,5,0
190,265,137,70
205,128,806,72
11,230,820,26
207,332,916,101
273,225,375,35
250,154,596,61
248,166,134,81
161,286,300,84
39,232,51,70
20,94,849,84
75,293,449,16
62,138,474,15
194,54,970,58
173,232,101,70
51,289,726,49
172,96,712,50
134,228,306,100
120,231,1086,77
54,152,218,13
181,13,981,85
109,304,764,76
277,102,688,72
64,20,147,5
33,112,557,3
203,220,245,2
271,61,142,60
286,43,930,70
13,115,713,19
93,227,507,94
253,300,718,15
288,322,864,48
0,2,755,74
260,205,877,77
322,64,646,33
285,143,399,35
228,217,568,9
122,204,590,45
305,14,684,53
310,330,173,30
294,248,515,90
174,7,885,90
309,89,769,9
223,26,607,8
259,154,433,45
177,33,123,46
16,20,827,26
235,147,86,49
25,238,1012,72
303,6,111,23
317,313,84,67
10,356,920,58
121,357,499,13
132,53,998,82
90,355,1046,78
140,326,454,30
275,14,363,65
293,68,676,17
209,270,447,19
266,166,745,42
146,218,673,15
295,328,246,28
27,330,173,71
125,164,223,59
60,221,48,17
225,63,397,19
212,11,546,4
31,303,405,78
116,229,674,51
287,284,4,12
76,294,1022,0
184,66,649,93
196,80,347,80
257,270,282,96
86,123,18,35
42,107,467,70
320,279,815,49
281,356,185,34
21,84,860,38
47,163,575,1
17,234,763,32
97,265,137,76
144,183,264,36
45,35,85,46
313,17,728,72
155,326,454,84
78,51,254,30
213,135,757,35
152,129,873,74
186,38,201,91
63,156,878,74
249,88,480,54
52,281,202,47
195,110,1065,92
164,9,979,70
82,86,42,32
183,66,649,5
220,75,149,42
28,144,1087,11
94,283,543,10
215,215,479,24
58,300,997,22
8,236,413,101
123,113,1042,21
130,250,68,10
278,174,707,10
192,40,750,21
48,77,611,37
176,204,564,98
202,131,788,85
312,323,328,71
112,91,886,58
131,358,113,34
2,300,997,10
252,274,955,16
151,311,812,63
6,217,678,85
84,14,926,64
240,326,110,34
119,119,455,73
208,14,654,64
171,96,874,89
91,230,219,5
35,187,435,61
226,19,897,43
296,345,267,16
236,90,368,77
217,11,602,101
85,319,562,63
204,177,22,4
5,144,1087,10
143,61,1085,45
258,251,635,42
242,18,1035,87
297,75,149,77
128,291,298,53
206,302,683,29
49,226,851,33
137,333,72,14
53,245,287,85
34,144,465,23
57,179,581,15
179,227,507,23
7,250,434,45
324,245,466,90
214,334,735,62
301,179,356,23
224,188,0,51
111,355,152,35
100,278,464,70
150,172,791,84
101,336,598,90
40,35,279,74
243,207,355,36
262,102,230,32
247,164,1058,28
279,227,507,58
74,61,961,0
38,232,51,70
201,238,367,79
158,347,619,0
103,351,963,50
254,157,1077,4
153,303,405,49
230,130,1076,41
108,318,861,18
272,104,921,46
1,113,362,69
168,295,807,15
319,319,656,84
263,197,312,62
157,330,1062,100
166,358,1070,16
99,49,612,53
67,113,1042,5
221,131,795,92
114,346,677,51
318,179,510,93
98,208,409,96
105,349,797,62
22,164,814,28
200,43,930,86
9,107,453,24
187,154,433,2
30,286,300,34
308,354,1089,85
298,357,1023,35
189,184,847,23
321,22,570,47
73,153,391,5
46,18,197,66
219,210,383,72
270,169,1008,23
41,184,83,35
83,276,7,43
289,264,597,25
299,41,951,101
227,68,563,17
136,104,29,74
251,342,136,64
87,150,470,68
135,362,461,18
218,306,978,76
68,16,253,5
269,180,406,38
315,84,804,49
268,50,738,55
19,278,464,76
59,246,573,10
170,42,667,89
199,144,465,30
165,276,250,53
292,71,601,2
234,9,179,76
231,89,769,90
29,0,940,5
149,225,375,88
216,296,43,38
311,27,425,33
163,26,607,13
56,59,703,10
14,246,573,22
238,176,321,67
169,217,568,1
77,257,446,32
159,105,143,68
96,154,875,46
113,338,139,19
323,173,666,33
107,169,609,4
314,211,971,85
80,91,396,60
274,66,277,19
167,33,123,4
283,181,138,84
70,250,68,96
106,330,173,59
185,176,321,23
188,313,84,1
102,260,353,32
282,67,280,22
154,22,1001,83
198,63,397,5
115,46,638,33
3,38,201,14
162,265,551,36
